Username,Comment,Comment Date
@muhardiman2823,"PEMILU 2024 SIAPAPUN PASLON YG TINGGI BIASA, YG TAK BIASA PEMILU 2024 SDH DISETTING MENANG DAN DIKUNCI ANGKA CURANG UNTUK CAWAPRES SAMSUL(PASLON 02)...TRILIUNAN UANG NEGARA DISIKAT UTK CAWAPRES SAMSUL... RUSAK DEMOKRASI NKRI.",2024-03-13T03:56:13Z
@rohyatsoyat3471,😂😂😂 Mending Judulnya ..SIAPA Tau Anis Yg Menang ...begitu ajah 😂😂😂😂😂,2024-03-13T03:50:10Z
@badman02169,Masyarakat indonesia sudah pinter nyari pemimpin,2024-03-13T03:44:50Z
@yologaming633,Suara Anies pindah ke 03 semua<br>Mampus tuh makin gayeng 01-03,2024-03-13T03:44:24Z
@AnzirmanAnzirman,"Anis sama Ganjar logowo aja,kalau ada yg diduga kecurangan tidak mempengaruhi kemenangan prabowo",2024-03-13T03:39:21Z
@reyhannurdinabduloh1030,Dari skrg gw mau stop liburan ke bali. 😊,2024-03-13T03:37:49Z
@myheart8857,"Lebih banyak orang yang pengen makan dan minum susu gratis dari pada harga sembako terjangkau, logistik murah dan mudah,  transportasi maju dan modern, lapangan pekerjaan yg pro putra asli indonesia serta keadilan dan pemerataan pembanguan.",2024-03-13T03:35:04Z
@lindaanggradevi3514,Kasihan 01 dan 03 keok di pemilu ini. Pendukungnya sudah mulai merasakan sakit hati yg mendalam. Kebencian itu akhirnya cuma bisa menyalahkan orang lain.,2024-03-13T03:22:48Z
@Frankmukbang92,Jateng sama jatim udah ditangan Prabowo-gibran🥰,2024-03-13T03:14:31Z
@pekongchannel6331,Bilang aja unggul. Jangan pakai sementara. Kayak yang gak konsisten.,2024-03-13T03:11:26Z
@duniasementara1977,Metro tv jujur yg tdk jujur sirekap.. Pemilu yg memilukan,2024-03-13T03:10:09Z
@herfandytansi3391,Alhamdulillah,2024-03-13T03:07:39Z
@Ryanstory-s1m,Bila pemilu kali ini dipaksakn menag si ceking dn gemoy kita rakyat akan ttp berjuang dgn cara kami.. Udh muak masa pelanggar hukum dibiarkan memimpin... Gimna negara klo kita tdk lawan,2024-03-13T02:48:25Z
@SahrulGunawan-lc1sb,"Laea pasti menang lah Prabowo Gibran, orang 02 mah ga curang",2024-03-13T02:43:14Z
@herupamungkas8248,Seketika buzzer anis menghilang😂,2024-03-13T02:36:59Z
@PerdiPerdi-x6k,Metro TV jangan dilihat orang waras pasti nggak mau melihat berita di metro TV tidak legowo beritanya😅,2024-03-13T02:13:34Z
@Dermawan350,"kasihan dehlu yng ngasih nilai 5 dan 11, ternyata dapat nilai 0 dari masyarakat cerdas 😂😂😂",2024-03-13T02:00:39Z
@santexplorer9611,70T cm hasilkan manusia ky samsul yg plangaplongo yg dipaksakan dg semua alat negara itu fakta/smg Allah laknat mrk semua yg sdh dzalim.,2024-03-13T01:56:05Z
@fianvivian2531,Pendidikan gratis kalah sama makan siang gratis... Koplak,2024-03-13T01:49:44Z
